"","GEOID","ct_x","ct_y"
"198",30059,-110.885695929,46.598214863
"199",8067,-107.843289098,37.2865795222
"200",48027,-97.478221547,31.037665289
"201",28069,-88.6411712644,32.7545554442
"202",5019,-93.1763743726,34.0510053945
"203",41035,-121.650121321,42.6863984573
"204",36075,-76.2086929264,43.4638655138
"205",72105,-66.2525760432,18.2885148874
"206",1019,-85.6037978221,34.175929063
"207",48019,-99.2462285385,29.7471929908
"208",30087,-106.730731112,46.2296539676
"209",35059,-103.470964457,36.4816566622
"210",26153,-86.1772875637,46.0424886017
"211",36111,-74.2585487713,41.8881570794
"212",34007,-74.9597202661,39.8035723779
"213",17083,-90.3566809992,39.0856619531
"214",51085,-77.4911610908,37.7601231991
"215",20199,-101.763569487,38.9166509564
"216",26003,-86.5721648597,46.9482716057
"217",5049,-91.8182204804,36.3816752946
"218",48215,-98.1810658887,26.3967311335
"219",37155,-79.1038979596,34.64026938
"220",26123,-85.8009238732,43.5541709329
"221",41049,-119.584267011,45.4189942711
"222",27153,-94.8975869285,46.0706459725
"223",5083,-93.7163021355,35.2152866299
"224",37109,-81.2235410223,35.4855873191
"225",5091,-93.891560273,33.3121153186
"226",12095,-81.3233974637,28.5143922793
"227",8111,-107.676129571,37.764081616
"228",16041,-111.813253158,42.1810400003
"229",13045,-85.0797353432,33.582801759
"230",20161,-96.7352446076,39.2965671025
"231",48413,-100.538546999,30.8974439882
"232",51167,-82.0953640571,36.9338874533
"233",37027,-81.5464368801,35.953009262
"234",16065,-111.659202079,43.7841230239
"235",18173,-87.2720639941,38.0921677927
"236",21001,-85.280649252,37.1041547671
"237",21077,-84.8593001844,38.7568518944
"238",21097,-84.3314466872,38.4417492139
"239",23023,-69.8393238669,43.911723863
"240",30097,-109.941009354,45.8138722509
"241",48181,-96.6777086384,33.626777355
"242",42059,-80.2229222418,39.8538055771
"243",2188,-160.006976597,67.008170472
"244",20051,-99.3172289404,38.9147559682
"245",1065,-87.629108723,32.7627137842
"246",1105,-87.2943868285,32.638467382
"247",1033,-87.8049757244,34.7004098571
"248",20151,-98.7395956777,37.6477341463
"249",21017,-84.2171560167,38.2067064181
"250",47149,-86.4167442387,35.8427305078
"251",13075,-83.4304912909,31.1540180454
"252",20101,-100.46639295,38.4812957945
"253",40059,-99.6673413691,36.7887326462
"254",17147,-88.5911099708,40.0103608819
"255",48107,-101.299958143,33.6146242526
"256",72053,-65.6065191812,18.3622370549
"257",1063,-87.9522174093,32.8530853181
"258",16033,-112.351308004,44.2838771612
"259",19109,-94.2067148937,43.2041197483
"260",72151,-65.8633848506,18.0560752942
"261",38013,-102.518226321,48.7909913606
"262",37063,-78.8765807802,36.0360305881
"263",19085,-95.8169059571,41.6828313848
"264",31103,-99.7123618454,42.8788142409
"265",19187,-94.1817519153,42.4279393838
"266",17151,-88.5615701644,37.4126771357
"267",47159,-85.9566877661,36.2506005161
"268",51089,-79.8739401581,36.6827925538
"269",51510,-77.0861098532,38.8184175323
"270",19101,-91.9488800441,41.031748216
"271",30049,-112.390445381,47.1224210122
"272",49013,-110.425181354,40.2982713057
"273",40003,-98.3240153417,36.7309724078
"274",48119,-95.6721567314,33.3863390964
"275",47169,-86.156756464,36.3920949085
"276",21193,-83.2214363274,37.2442822522
"277",46039,-96.6679654907,44.760056623
"278",41029,-122.72851106,42.4321616746
"279",72067,-67.1139374452,18.1341650414
"280",48507,-99.7605942646,28.8662202426
"281",31007,-103.710489436,41.5459698472
"282",19121,-94.0155462392,41.3307188426
"283",12011,-80.4558890726,26.1518534102
"284",13279,-82.3313317729,32.1216588339
"285",26151,-82.645748338,43.4433141859
"286",48397,-96.4077801273,32.8977610478
"287",26163,-83.2611063004,42.2847343505
"288",27105,-95.7533799695,43.6742449911
"289",27001,-93.4154403423,46.6082494446
"290",38071,-98.7201626649,48.2689194468
"291",37145,-78.9718125817,36.3900950862
"292",20195,-99.8727409144,38.9143153555
"293",28151,-90.947448369,33.2837344788
"294",48133,-98.8323301936,32.3270684654
"295",28055,-90.9891625294,32.7413522644
"296",48123,-97.3567489786,29.0820870557
"297",48005,-94.6119025366,31.2547018141
"298",45081,-81.7268714001,34.0061021387
"299",29125,-91.9249003515,38.1616242882
"300",5001,-91.3748964893,34.2907901539
"301",29109,-93.8329426847,37.1063575409
"302",17011,-89.5286827868,41.4041430518
"303",39145,-82.9928376921,38.8039443227
"304",37115,-82.7056985755,35.8580148744
"305",16053,-114.263976163,42.689892644
"306",39163,-82.4853564429,39.2509933987
"307",48309,-97.2018014797,31.5523626075
"308",16037,-114.281764823,44.2411417203
"309",19089,-92.3171728386,43.3567634702
"310",12099,-80.4365209001,26.6475654567
"311",13181,-82.4511879533,33.7936046465
"312",1013,-86.6802775808,31.7524511815
"313",47165,-86.4603612851,36.4693931114
"314",51097,-76.8951775254,37.7185339929
"315",5015,-93.538282146,36.3410530745
"316",2220,-135.304964718,57.1797741139
"317",41051,-122.414851408,45.5467950104
"318",47061,-85.7225711927,35.3883500576
"319",27057,-94.916626047,47.1086475525
"320",38081,-97.6307462008,46.107933226
"321",36089,-75.0689405377,44.4963988249
"322",29179,-90.9690795922,37.3623077324
"323",6067,-121.344221726,38.4493249745
"324",39125,-84.5801905781,41.1166190152
"325",18179,-85.2212206358,40.7291932078
"326",51063,-80.3625175011,36.9315476401
"327",6083,-120.030748959,34.5384302569
"328",54005,-81.7111890895,38.0229275272
"329",28009,-89.1884591135,34.8172806071
"330",21055,-88.0974465106,37.3526268976
"331",19147,-94.6781296267,43.082052321
"332",19159,-94.2439943405,40.735188092
"333",37151,-79.8060169334,35.7103390382
"334",24015,-75.9480827137,39.5623984036
"335",18171,-87.353357561,40.3469033855
"336",31077,-98.521236685,41.5674426066
"337",31095,-97.1427282269,40.1757581708
"338",31151,-97.1409105738,40.5240576444
"339",21119,-82.9540975747,37.3540056925
"340",19045,-90.5319556787,41.8980453736
"341",27063,-95.1540847698,43.6741649941
"342",27039,-92.8620680411,44.0225611189
"343",27047,-93.3488166865,43.6738422477
"344",6009,-120.554158668,38.2046104532
"345",25001,-70.2381449885,41.7734688544
"346",51119,-76.5059473394,37.622726087
"347",42065,-78.9994275983,41.1281647865
"348",18089,-87.3763869026,41.4722062336
"349",47003,-86.4589195906,35.5138612888
"350",47027,-85.5438498965,36.551116569
"351",17029,-88.2217805291,39.5202793694
"352",47097,-89.6314447027,35.7610312292
"353",41001,-117.675378631,44.7091713798
"354",36097,-76.8752038909,42.3937977565
"355",26159,-86.3064173239,42.2850995638
"356",17131,-90.7414461348,41.205329196
"357",21127,-82.7347491381,38.0678474484
"358",21175,-83.2589207632,37.9223209785
"359",21177,-87.1420664466,37.2157910249
"360",17049,-88.5898674339,39.059760793
"361",47105,-84.3117684344,35.7347757709
"362",46025,-97.7295028437,44.8582499726
"363",15003,-164.736763627,23.7186437463
"364",12041,-82.8003325226,29.7258324056
"365",18157,-86.8941158531,40.3886143678
"366",42109,-77.0701509999,40.7698436323
"367",48277,-95.5712454174,33.6673076951
"368",12086,-80.4986738641,25.6089989294
"369",31057,-101.687965438,40.1762173407
"370",48289,-95.9955992873,31.2965438134
"371",8097,-106.916597455,39.2170997428
"372",38035,-97.4569333327,47.9219208237
"373",18091,-86.7423747181,41.5490169462
"374",18057,-86.052028475,40.0724955985
"375",40081,-96.8809272968,35.7029878155
"376",20071,-101.805980341,38.4805316776
"377",13145,-84.9089303652,32.7360004768
"378",13251,-81.6118828454,32.7506101116
"379",72127,-66.0683323176,18.4221550046
"380",48433,-100.253302816,33.1791232645
"381",39069,-84.0682358018,41.3338561953
"382",33009,-71.8207283933,43.9406886457
"383",29145,-94.3392517654,36.9054979721
"384",18129,-87.8684830361,38.0218447307
"385",48311,-98.5678461125,28.3526830125
"386",17035,-88.2402283432,39.2733036232
"387",13297,-83.7338273091,33.7815744363
"388",27121,-95.4444650121,45.5860112892
"389",51157,-78.1591915437,38.684831798
"390",51009,-79.1451695824,37.604816922
"391",6111,-119.125987309,34.357601804
"392",17033,-87.7596154314,39.0026796824
"393",8093,-105.717172431,39.1192982335
"394",6037,-118.260982855,34.1980898012
"395",4027,-113.905578729,32.7693945368
"396",13129,-84.8756950863,34.5033777701
"397",19025,-94.6404154833,42.3851711182
"398",12055,-81.3409922224,27.3433774604
"399",50017,-72.3768893072,44.0056460508
"400",20113,-97.6480877175,38.3916634052
"401",4021,-111.344708348,32.9043599168
"402",39051,-84.1300820367,41.6017786932
"403",8003,-105.788303428,37.5728864533
"404",12017,-82.5201361584,28.8476159581
"405",72049,-65.3008350656,18.3233362332
"406",72051,-66.262011923,18.4719681972
"407",47041,-85.8328288249,35.9799100813
"408",42031,-79.4210108371,41.1924169476
"409",46097,-97.6102329982,44.0219445762
"410",46073,-98.629714495,44.0663235977
"411",18031,-85.5011287497,39.3069987636
"412",18037,-86.8798143098,38.3642923007
"413",51057,-76.9408445434,37.9390384054
"414",45089,-79.7276596458,33.6199202502
"415",36031,-73.7727313244,44.1172062967
"416",19195,-93.2608337056,43.377401657
"417",40063,-96.250242294,35.0483374593
"418",51027,-82.0359601018,37.2666806904
"419",51005,-80.0061001417,37.7877769426
"420",28087,-88.4432649218,33.4729099461
"421",18143,-85.7475020292,38.6851046889
"422",8099,-102.393346023,37.9551863841
"423",48435,-100.538203355,30.4982811462
"424",72121,-66.9433174473,18.0836017973
"425",40101,-95.3795163707,35.6160849635
"426",29043,-93.1888272913,36.96956421
"427",72039,-66.5164031336,18.2890556787
"428",28073,-89.5087001021,31.2058634921
"429",18137,-85.2623753619,39.1034625193
"430",38057,-101.831532534,47.3092280702
"431",13147,-82.9642298289,34.3509326894
"432",22049,-92.5577478738,32.3020385767
"433",51133,-76.3795067747,37.8546856895
"434",48157,-95.7709246767,29.5275073259
"435",55047,-89.0448773975,43.8003804338
"436",30073,-112.226632044,48.227952508
"437",55127,-88.5419100663,42.6684851468
"438",32021,-118.435213182,38.5388093864
"439",17057,-90.2074530202,40.4727733809
"440",36103,-72.6852355689,40.9404598604
"441",18161,-84.9251543197,39.6255401132
"442",29119,-94.348359416,36.6286629697
"443",31157,-103.707940787,41.8506041649
"444",35047,-104.815990655,35.4806141066
"445",1081,-85.3555621379,32.6011297168
"446",48367,-97.8051063907,32.777652763
"447",38021,-98.5046985009,46.1101132676
"448",38003,-98.0715670128,46.9361003794
"449",27143,-94.2321724767,44.5794838298
"450",13293,-84.2993293256,32.8813405925
"451",6097,-122.922548999,38.525279988
"452",26033,-84.5293736414,46.3281696356
"453",16019,-111.614750437,43.3877414586
"454",13013,-83.7127726337,33.9931909021
"455",13183,-81.745848354,31.7525471183
"456",48271,-100.417954469,29.3502057049
"457",40115,-94.8104398565,36.8355039353
"458",42033,-78.4740695241,41.0001856469
"459",26037,-84.6015220372,42.9436494201
"460",72133,-66.3867594558,17.9530302081
"461",17135,-89.4788927716,39.2310428813
"462",28003,-88.5802526628,34.8807738159
"463",28071,-89.4849354353,34.3567079349
"464",22043,-92.5595040538,31.5996639309
"465",29005,-95.4280801032,40.4308528341
"466",17115,-88.9615976641,39.8599780726
"467",26149,-85.5277446795,41.9144240329
"468",17055,-88.9241419478,37.9922931705
"469",30033,-106.992874244,47.2776107941
"470",31001,-98.5011890769,40.5244507848
"471",27109,-92.4017781702,44.0037475527
"472",34039,-74.3081351167,40.6598777636
"473",72139,-65.9988857553,18.3361194173
"474",1097,-88.1975275637,30.685177639
"475",46087,-97.3684563188,43.674302468
"476",1057,-87.7388441192,33.7211928688
"477",1017,-85.3920147402,32.9143473725
"478",37131,-77.3969122926,36.417700816
"479",8081,-108.207293597,40.6184174313
"480",21087,-85.5531284572,37.2640970034
"481",18047,-85.0602510134,39.414871939
"482",37013,-76.8452198523,35.4869667982
"483",72073,-66.5883113216,18.2107330735
"484",38015,-100.468718718,46.9774037803
"485",37159,-80.5247597825,35.6394776025
"486",26071,-88.5305263448,46.2086599907
"487",27067,-95.0047407033,45.1523738856
"488",21237,-83.4932445698,37.7393508136
"489",48149,-96.9197609029,29.876793881
"490",46081,-103.792233657,44.3586330725
"491",23029,-67.6090710419,44.9694757243
"492",48045,-101.208602255,34.53026045
"493",26131,-89.4347356258,47.0221860954
"494",28015,-89.9201754303,33.4484949252
"495",41003,-123.429224706,44.4918128685
"496",27133,-96.2532011499,43.6746151955
"497",42063,-79.0875342727,40.6520636222
"498",22061,-92.6647586176,32.601646429
"499",42099,-77.262354509,40.3983721289
"500",46137,-101.665874811,44.9804231442
"501",48203,-94.3714867586,32.5481380719
"502",26013,-88.352191201,46.6996955081
"503",40131,-95.604351472,36.3715845157
"504",29019,-92.3096527749,38.9905944201
"505",72097,-67.605098634,18.1830974897
"506",40015,-98.3751417284,35.1743669529
"507",8059,-105.250477588,39.5864873406
"508",54011,-82.2417227005,38.4202517286
"509",48383,-101.523008093,31.36618892
"510",5141,-92.5156890036,35.580636044
"511",8117,-106.116375213,39.634214442
"512",20035,-96.8374792264,37.2377480769
"513",5071,-93.4598898124,35.5700800435
"514",36041,-74.4973542368,43.6611031795
"515",51045,-80.2113988166,37.4816878557
"516",48083,-99.4536454838,31.7731706865
"517",2290,-151.389606253,65.5086495601
"518",4017,-110.321404893,35.3995454966
"519",28085,-90.4539844563,31.5323849557
"520",48357,-100.815648976,36.2784003328
"521",48103,-102.515535757,31.4284846534
"522",56003,-107.995203766,44.526712458
"523",47081,-87.4733332013,35.8033002679
"524",28143,-90.3754918986,34.6519539624
"525",29081,-93.9920644257,40.3546594049
"526",72029,-65.8879486383,18.3291034868
"527",18005,-85.8976147336,39.2059272906
"528",13223,-84.8672906278,33.9205534576
"529",39015,-83.8674205714,38.9340548982
"530",47141,-85.4950757442,36.1408993516
"531",38101,-101.541809704,48.2217268034
"532",25027,-71.9077224683,42.3513727687
"533",39091,-83.7658879553,40.3884531178
"534",6031,-119.815463933,36.0753668337
"535",6073,-116.770204799,33.0281978803
"536",72123,-66.2619745103,17.9729764269
"537",13079,-83.9863053061,32.7145321816
"538",72103,-65.7360778687,18.2110710607
"539",29037,-94.3548056905,38.646980077
"540",36027,-73.7428627517,41.7651418026
"541",48477,-96.4033868644,30.2145307275
"542",8101,-104.512852126,38.1734274431
"543",29067,-92.4987892237,36.9325914788
"544",38009,-100.833329257,48.7921544763
"545",37051,-78.8275157657,35.0486226379
"546",56017,-108.442114988,43.7189381119
"547",26001,-83.1290047759,44.6836216452
"548",6061,-120.717655056,39.0634115373
"549",5129,-92.6994936911,35.9108992533
"550",48305,-101.816128135,33.1768257137
"551",36077,-75.0325405389,42.6337802868
"552",37153,-79.7477884793,35.0060688999
"553",37093,-79.2373243956,35.017490602
"554",31131,-96.1347580814,40.6485073877
"555",42023,-78.2037872416,41.4368075679
"556",45035,-80.4055717486,33.0795020532
"557",27161,-93.5872604378,44.0221122443
"558",46015,-99.080938113,43.718041037
"559",47177,-85.7784441605,35.6786835823
"560",17023,-87.7877191204,39.3335498206
"561",21201,-84.0519197573,38.5190045565
"562",47095,-89.4934069302,36.3354715173
"563",45015,-79.9510406719,33.1977200789
"564",5051,-93.150432231,34.5766964372
"565",20139,-95.7269416677,38.6523329116
"566",39155,-80.7611651034,41.3171854195
"567",48333,-98.5954500172,31.4951887056
"568",48359,-102.602870443,35.4050380505
"569",42019,-79.9129999189,40.9117144963
"570",16049,-115.46753011,45.8441972338
"571",20115,-97.0968991751,38.3588733352
"572",51029,-78.5286795352,37.5721999645
"573",37025,-80.5518256241,35.3867880985
"574",29225,-92.8758814599,37.2808988341
"575",49011,-112.111269165,40.9900786575
"576",27033,-95.1811401689,44.007095501
"577",12093,-80.8886428164,27.3863020381
"578",13291,-83.9907935305,34.8340002051
"579",19013,-92.3088365014,42.4700861402
"580",48403,-93.8517613313,31.3432504737
"581",39131,-83.066856132,39.0773643029
"582",1125,-87.5250332142,33.289540286
"583",1131,-87.3082123325,31.9891966759
"584",28097,-89.6164227718,33.4940991924
"585",31099,-98.9480105304,40.5066990786
"586",31087,-101.042277052,40.1763406979
"587",10003,-75.6389749001,39.5782409315
"588",16081,-111.20760972,43.7594379919
"589",17161,-90.5672664793,41.4674175394
"590",51073,-76.5229834537,37.4012405572
"591",5133,-94.2411577735,33.9971705464
"592",18017,-86.3459345769,40.7614840599
"593",16077,-112.840674842,42.6936469564
"594",18015,-86.5634895886,40.5828672742
"595",42101,-75.1339755817,40.007622433
"596",56043,-107.682853248,43.904993799
"597",37029,-76.1609580388,36.3411190818
"598",36109,-76.4736603415,42.4520042372
"599",5069,-91.9315075148,34.2687806467
"600",5079,-91.733324494,33.9574474443
"601",55123,-90.8343966284,43.5938546675
"602",29093,-90.7734912395,37.5551600699
"603",48223,-95.563966422,33.1495775446
"604",36001,-73.9735474211,42.6001855118
"605",48225,-95.4226699,31.3177164665
"606",39111,-81.0829169681,39.7273449282
"607",20165,-99.3092388756,38.5231651179
"608",18107,-86.8933204371,40.040375634
"609",20187,-101.784154835,37.5630526741
"610",21129,-83.7162339707,37.5947684286
"611",27071,-93.7833703614,48.2452620262
"612",48029,-98.5200247149,29.4489759508
"613",8013,-105.357744106,40.0924481441
"614",47089,-83.4462458914,36.0509923895
"615",40097,-95.2308449163,36.3018759848
"616",27165,-94.6140433416,43.9784119418
"617",16013,-113.980145475,43.4119488346
"618",22053,-92.814152996,30.2677623944
"619",46119,-100.132176139,44.7155663298
"620",8031,-104.875911277,39.7618809167
"621",40029,-96.297842484,34.5881740323
"622",30011,-104.536155599,45.5167445648
"623",48461,-102.04303748,31.3687274291
"624",18051,-87.5846305207,38.3117906008
"625",31105,-103.714948296,41.1976439029
"626",17093,-88.4288526435,41.5905394822
"627",11001,-77.0163177416,38.9047301233
"628",8085,-108.269453623,38.4021541238
"629",27171,-93.963046701,45.1739407765
"630",55059,-87.6531269577,42.5784980565
"631",8037,-106.695279825,39.6278308384
"632",6075,-122.693945547,37.7597187694
"633",8113,-108.405920712,38.0037518329
"634",2020,-149.188574432,61.148260055
"635",12109,-81.4098826535,29.9121721272
"636",28019,-89.2484011963,33.3473267261
"637",29079,-93.5653311845,40.1139340568
"638",26085,-85.8016431585,43.9900815609
"639",26139,-86.4218665079,42.9485385236
"640",17031,-87.6461613143,41.8954160337
"641",17059,-88.2305300678,37.7627271806
"642",45047,-82.1258725678,34.1538462201
"643",20059,-95.2859825984,38.5645133268
"644",27027,-96.4906174297,46.8922881677
"645",47075,-89.2838346315,35.58321967
"646",49003,-113.082050701,41.5210115566
"647",28139,-88.9089045448,34.7683788259
"648",54051,-80.6633782725,39.860598713
"649",54035,-81.67478081,38.8344604828
"650",16039,-115.4692708,43.3538606814
"651",24005,-76.616347812,39.4430451632
"652",38005,-99.3660597432,48.0693675593
"653",29163,-91.1713592904,39.3438431537
"654",39087,-82.5367423004,38.5984871501
"655",29201,-89.5685486617,37.0530029987
"656",39001,-83.4721735049,38.8455278774
"657",48143,-98.2179719365,32.2362608032
"658",13137,-83.531149726,34.6309818455
"659",13319,-83.1711939012,32.8023995049
"660",54061,-80.0465364417,39.6302758619
"661",39033,-82.9197638359,40.8507712497
"662",12027,-81.8092914156,27.1863296486
"663",9011,-72.1065688394,41.466812703
"664",39059,-81.4942387926,40.0520431148
"665",26015,-85.3089514202,42.5950183808
"666",29209,-93.4559834324,36.746953104
"667",51760,-77.4757403283,37.5294819791
"668",37169,-80.239517503,36.4019030421
"669",19039,-93.7851702447,41.0290142182
"670",19065,-91.8443571767,42.8626135132
"671",6041,-122.748799057,38.055165872
"672",48381,-101.896946247,34.9658389859
"673",48401,-94.7618655738,32.1077230927
"674",19181,-93.5613457058,41.334350261
"675",39161,-84.5860904048,40.8553846458
