fips,pop
48195,5399
48187,166847
48077,10471
48205,5576
48217,36649
48293,23437
48347,65204
48369,9605
48367,142878
48377,6704
48465,49025
48109,2171
48135,166223
48169,6229
48173,1409
48185,28880
48453,1273954
48085,1034730
48005,86715
48087,2920
48101,1398
48209,230191
48143,42698
48039,374264
48345,1200
48129,3278
48013,51153
48083,8175
48353,14714
48229,4886
48325,51584
48475,11998
48213,82737
48203,66553
48327,2138
48277,49859
48149,25346
48491,590551
48267,4337
48233,20938
48477,35882
48343,12388
48361,83396
48429,9366
48495,8010
48201,4713325
48003,18705
48053,48155
48171,26988
48177,20837
48113,2635516
48305,5951
48311,743
48503,18010
48505,14179
48251,175817
48221,61643
48223,37084
48357,9836
48269,272
48275,3664
48309,256623
48073,52646
48095,2726
48119,5331
48137,1932
48133,18360
48253,20083
48243,2274
48247,5200
48249,40482
48339,607391
48111,7287
48127,10124
48479,276652
48157,811688
48011,1887
48069,7530
48235,1536
48273,30680
48489,21358
48097,41257
48107,5737
48115,12728
48151,3830
48131,11157
48051,18443
48031,11931
48271,3667
48359,2112
48279,12893
48295,3233
48307,7984
48319,4274
48125,2211
48287,17239
48439,2102515
48001,57735
48139,184826
48239,14760
48265,52600
48331,24823
48093,13635
48145,17297
48047,7093
48015,30032
48261,404
48355,362294
48089,21493
48409,66730
48379,12514
48381,137713
48385,3452
48411,6055
48413,2793
48431,1291
48507,11840
48057,21290
48065,5926
48155,1155
48161,19717
48175,7658
48193,8461
48197,3933
48335,8545
48449,32750
48045,1546
48285,20154
48291,88219
48445,12337
48497,69984
48301,169
48321,36643
48241,35529
48245,251565
48371,15823
48395,17074
48397,104915
48401,54406
48441,138034
48447,1501
48455,14651
48471,72971
48499,45539
48019,23112
48007,23510
48075,7306
48079,2853
48081,3387
48091,156209
48099,75951
48211,3819
48225,22968
48341,20940
48349,50113
48375,117415
48405,8237
48415,16703
48417,3265
48427,64633
48433,1350
48461,3657
48021,88723
48049,37864
48191,2964
48025,32565
48159,10725
48163,20306
48103,4797
48281,21428
50021,58191
50019,27037
50013,7235
50017,28892
50007,163774
50015,25362
50027,55062
50011,49402
28009,8259
28037,7713
28027,22124
28061,16383
28067,68098
28147,14286
28095,35252
28115,32174
28051,17010
28005,12297
39173,130817
39005,53484
39007,97241
40043,4891
40059,3688
40071,43538
40083,48011
40035,14142
40143,651552
40147,51527
40017,148306
40057,2653
40061,12627
40077,10073
40111,38465
40113,46963
40139,19983
40067,6002
40127,11096
40047,61056
40049,27711
40069,11085
40121,43654
40123,38284
40129,3583
40153,20211
40021,48657
40041,43009
40045,3859
40051,55834
40119,81784
40125,72592
40037,71522
40141,7250
40149,10916
40033,5666
40075,8708
40079,49853
40089,32832
40093,7629
40097,41100
40109,797434
40039,29003
40007,5311
40085,10253
40009,21859
40063,13279
40023,14672
40065,24530
40031,120749
40081,34877
40117,16376
40001,22194
40133,24258
40137,43143
40025,2137
40011,9429
40019,48111
40029,5495
40053,4333
29061,8278
29087,4403
29103,3959
29127,28530
29139,11551
29151,13615
29181,13288
29207,29025
29219,35649
29221,24730
29007,25388
29043,88595
29063,12547
29077,293086
29081,8352
29107,32708
29185,9397
29001,25343
29197,4660
29199,4902
29211,6089
29029,46305
29045,6797
29097,121328
29099,225081
29111,9776
29119,22837
29143,17076
29157,19136
29167,32149
29173,10309
29177,23018
30017,11402
30041,16484
30015,5635
30075,1682
30053,19980
30067,16606
30085,11004
30103,696
30005,6681
30051,2337
30097,3737
30083,10803
30099,6147
30079,1077
30101,4736
30035,13753
30025,2846
30019,1690
30037,821
30045,2007
30093,34915
30095,9642
30023,9140
30043,12221
30039,3379
30055,1664
30107,2126
30057,8600
30087,8937
30091,3309
30011,1252
30021,8613
30003,13319
30007,6237
30047,30458
30049,69432
53003,22582
53001,19983
53023,2225
53045,66768
53057,129205
53065,45723
53063,522798
53043,10939
53007,77200
53031,32221
53035,271473
53033,2252782
53049,22471
53051,13724
53055,17582
53059,12083
53075,50104
53077,250873
53009,77331
53015,110593
53019,7627
53039,22425
53041,80707
53017,43429
53027,75061
53029,85141
53053,904980
53069,4488
53021,95222
53071,60760
53025,97733
53073,229247
53061,822083
54023,11568
54027,23175
54089,12573
54009,21939
54017,8448
54025,34662
54031,13776
54049,56072
54057,26868
54059,23424
54029,28810
54041,15907
54051,30531
54067,24496
54075,8247
54093,6839
54095,8591
54083,28695
54087,13688
54091,16695
54105,5821
54107,83518
54015,8508
54021,7823
54053,26516
54061,105612
54063,13275
54073,7460
54103,15065
54011,91945
54037,57146
54039,178124
54045,32019
54071,6969
54077,33432
54033,67256
54069,41411
54085,9554
54013,7109
54065,17884
54043,20409
54081,73361
54007,13957
54079,56450
54001,16441
54005,21457
54047,17624
54099,39402
54109,20394
54035,28576
30111,161300
30063,119600
30081,43806
30105,7396
30013,81366
30027,11050
30033,1258
30061,4397
30069,487
30077,6890
30089,12113
30109,969
30031,114434
30059,1862
30009,10725
30001,9453
30029,103806
30065,4633
30071,3954
31083,3380
31185,13679
31009,465
31019,49659
31037,10709
31049,1794
31087,2762
31113,748
31141,33470
31143,5213
31169,5003
31013,10783
31017,2955
31001,31363
31161,5246
31109,319090
31011,5192
31129,4148
31149,1357
31007,745
31063,2627
31163,3001
31055,571327
31147,7865
31093,6445
31089,10067
31065,4676
31073,1990
30073,5911
31151,14224
31153,187196
31173,7224
31177,20729
31015,1919
31031,5689
31053,36565
31059,5462
31069,1837
31091,682
31123,4642
31127,6972
31159,17284
31171,722
31043,20026
31181,3487
31003,6298
31029,3924
31023,8016
31035,6203
31005,463
31041,10777
31061,2979
31067,21513
31081,9324
31095,7046
31099,6495
31101,8034
31115,664
31119,35099
31135,2891
31137,9034
31155,21578
31157,35618
31179,9385
31103,806
31105,3632
31107,8332
31111,34914
31121,7755
54055,58758
54097,24176
54101,8114
54003,119171
54019,42406
55051,5687
55019,34774
55109,90687
55083,37930
55069,27593
55135,50990
55005,45244
55113,16558
55047,18913
55099,13351
55077,15574
55075,40350
55079,945726
55101,196311
55139,171907
55033,45368
55041,9004
55045,36960
55043,51439
55107,14178
55115,40899
55117,115340
55067,19189
55078,4556
55087,187885
55123,30822
55011,13031
55021,57532
55061,20434
55063,118016
55009,264542
55035,104646
55073,135692
55085,35595
55095,43783
55121,29649
55129,15720
55133,404198
55027,87839
55127,103868
55125,22195
55023,16131
55057,26687
55071,78981
